Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
lblChemistryDysmantle,,,,,"Chemistry Resources","Recursos de Química",,
lblYcanfoodOven,,,,,"Food Recipes With Cans","Recetas de comida Con Latas",,
lblNcanfoodOven,,,,,"Food Recipes Without Cans","Recetas de comida Sin Latas",,
lblOchemiOven,,,,,"Chemistry resources","Recursos de Química",,
quest_Survivalist1_description_title,,,,,"Survivalist Class","Clase Superviviente",,
quest_Survivalist1_description,,,,,"Welcome to Tongomod, you have received different class quests, they can be done in any order you want, continue by default with the ''Survivor'' class. \n\nYou can scrap any book, magazine or recipe to get ''blue papers'', and craft in progression machine according to your progression needs. \n\nGood luck in your adventure.","Bienvenido a Tongomod, has recibido diferentes misiones de clase, se pueden realizar en el orden que desees, continúa por defecto con la clase ''Superviviente''. \n\nPuedes despedazar cualquier libro, revista o receta para obtener ''papeles azules'', y utilizarlos en la máquina de progresión para avanzar según tus necesidades. \n\nBuena Suerte en el Yermo.",,
quest_Survivalist,,,,,"Survivalist Class","Clase Superviviente",,
quest_Survivalist1,,,,,"Survivalist Class 3/8","Clase Superviviente 3/8",,
quest_Survivalist1_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist1_subtitle,,,,,"Better than nothing","Mejor que nada",,
quest_Survivalist2,,,,,"Survivalist Class 4/8","Clase Superviviente 4/8",,
quest_Survivalist2_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist2_subtitle,,,,,"Put on your clothes","Vistete",,
quest_Survivalist3,,,,,"Survivalist Class 5/8","Clase Superviviente 5/8",,
quest_Survivalist3_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist3_subtitle,,,,,"Basic Weapons","Armas Básicas",,
quest_Survivalist4,,,,,"Survivalist Class 6/8","Clase Superviviente 6/8",,
quest_Survivalist4_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist4_subtitle,,,,,"Bow and arrows","Arco y Flechas",,
quest_Survivalist5,,,,,"Survivalist Class 7/8","Clase Superviviente 7/8",,
quest_Survivalist5_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist5_subtitle,,,,,"Start a Base","Comienza una base",,
quest_Survivalist6,,,,,"Survivalist Class 8/8","Clase Superviviente 8/8",,
quest_Survivalist6_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist6_subtitle,,,,,"A bit of fire","Un poco de Lumbre",,
quest_Builder,,,,,"Builder Class","Clase Constructor",,
quest_Builder1,,,,,"Builder Class 1/30","Clase Constructor 1/30",,
quest_Builder1_desc,,,,,"Gather materials and start building your base.","Reúne materiales y comienza la construcción de tu base.",,
quest_Builder1_subtitle,,,,,"Start your Base 1/4","Comienza tu Base 1/4",,
quest_Builder2,,,,,"Builder Class 2/30","Clase Constructor 2/30",,
quest_Builder2_desc,,,,,"Gather materials and start building your base.","Reúne materiales y comienza la construcción de tu base.",,
quest_Builder2_subtitle,,,,,"Start your Base 2/4","Comienza tu Base 2/4",,
quest_Builder3,,,,,"Builder Class 3/30","Clase Constructor 3/30",,
quest_Builder3_desc,,,,,"Gather materials and start building your base.","Reúne materiales y comienza la construcción de tu base.",,
quest_Builder3_subtitle,,,,,"Start your Base 3/4","Comienza tu Base 3/4",,
quest_Builder4,,,,,"Builder Class 4/30","Clase Constructor 4/30",,
quest_Builder4_desc,,,,,"Gather materials and start building your base.","Reúne materiales y comienza la construcción de tu base.",,
quest_Builder4_subtitle,,,,,"Start your Base 4/4","Comienza tu Base 4/4",,
quest_Builder5,,,,,"Builder Class 5/30","Clase Constructor 5/30",,
quest_Builder5_desc,,,,,"Stone is stronger than wood, it's time to upgrade.","La piedra es más resistente que la madera, es hora de actualizar.",,
quest_Builder5_subtitle,,,,,"More Resistant 1/4","Más Resistente 1/4",,
quest_Builder6,,,,,"Builder Class 6/30","Clase Constructor 6/30",,
quest_Builder6_desc,,,,,"Stone is stronger than wood, it's time to upgrade.","La piedra es más resistente que la madera, es hora de actualizar.",,
quest_Builder6_subtitle,,,,,"More Resistant 2/4","Más Resistente 2/4",,
quest_Builder7,,,,,"Builder Class 7/30","Clase Constructor 7/30",,
quest_Builder7_desc,,,,,"Stone is stronger than wood, it's time to upgrade.","La piedra es más resistente que la madera, es hora de actualizar.",,
quest_Builder7_subtitle,,,,,"More Resistant 3/4","Más Resistente 3/4",,
quest_Builder8,,,,,"Builder Class 8/30","Clase Constructor 8/30",,
quest_Builder8_desc,,,,,"Stone is stronger than wood, it's time to upgrade.","La piedra es más resistente que la madera, es hora de actualizar.",,
quest_Builder8_subtitle,,,,,"More Resistant 4/4","Más Resistente 4/4",,
quest_Builder9,,,,,"Builder Class 9/30","Clase Constructor 9/30",,
quest_Builder9_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder9_subtitle,,,,,"Upgrade your Tools 1/7","Mejora tus Herramientas 1/7",,
quest_Builder10,,,,,"Builder Class 10/30","Clase Constructor 10/30",,
quest_Builder10_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder10_subtitle,,,,,"Upgrade your Tools 2/7","Mejora tus Herramientas 2/7",,
quest_Builder11,,,,,"Builder Class 11/30","Clase Constructor 11/30",,
quest_Builder11_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder11_subtitle,,,,,"Upgrade your Tools 3/7","Mejora tus Herramientas 3/7",,
quest_Builder12,,,,,"Builder Class 12/30","Clase Constructor 12/30",,
quest_Builder12_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder12_subtitle,,,,,"Upgrade your Tools 4/7","Mejora tus Herramientas 4/7",,
quest_Builder13,,,,,"Builder Class 13/30","Clase Constructor 13/30",,
quest_Builder13_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder13_subtitle,,,,,"Upgrade your Tools 5/7","Mejora tus Herramientas 5/7",,
quest_Builder14,,,,,"Builder Class 14/30","Clase Constructor 14/30",,
quest_Builder14_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder14_subtitle,,,,,"Upgrade your Tools 6/7","Mejora tus Herramientas 6/7",,
quest_Builder15,,,,,"Builder Class 15/30","Clase Constructor 15/30",,
quest_Builder15_desc,,,,,"Upgrade your tools and get more resources.","Mejora tus herramientas y consigue mayores recursos.",,
quest_Builder15_subtitle,,,,,"Upgrade your Tools 7/7","Mejora tus Herramientas 7/7",,
quest_Builder16,,,,,"Builder Class 16/30","Clase Constructor 16/30",,
quest_Builder16_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder16_subtitle,,,,,"Liquid Stone 1/6","Piedra Liquida 1/6",,
quest_Builder17,,,,,"Builder Class 17/30","Clase Constructor 17/30",,
quest_Builder17_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder17_subtitle,,,,,"Liquid Stone 2/6","Piedra Liquida 2/6",,
quest_Builder18,,,,,"Builder Class 18/30","Clase Constructor 18/30",,
quest_Builder18_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder18_subtitle,,,,,"Liquid Stone 3/6","Piedra Liquida 3/6",,
quest_Builder19,,,,,"Builder Class 19/30","Clase Constructor 19/30",,
quest_Builder19_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder19_subtitle,,,,,"Liquid Stone 4/6","Piedra Liquida 4/6",,
quest_Builder20,,,,,"Builder Class 20/30","Clase Constructor 20/30",,
quest_Builder20_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder20_subtitle,,,,,"Liquid Stone 5/6","Piedra Liquida 5/6",,
quest_Builder21,,,,,"Builder Class 21/30","Clase Constructor 21/30",,
quest_Builder21_desc,,,,,"Concrete is easy to craft, as well as very strong.","El hormigón es barato de fabricar, además de muy resistente.",,
quest_Builder21_subtitle,,,,,"Liquid Stone 6/6","Piedra Liquida 6/6",,
quest_Builder22,,,,,"Builder Class 22/30","Clase Constructor 22/30",,
quest_Builder22_desc,,,,,"Upgrade will steel and take your base to another level.","Nada como el acero, esta mejora llevará tu base a otro nivel.",,
quest_Builder22_subtitle,,,,,"Age of Steel 1/5","La Era del Acero 1/5",,
quest_Builder23,,,,,"Builder Class 23/30","Clase Constructor 23/30",,
quest_Builder23_desc,,,,,"Upgrade will steel and take your base to another level.","Nada como el acero, esta mejora llevará tu base a otro nivel.",,
quest_Builder23_subtitle,,,,,"Age of Steel 2/5","La Era del Acero 2/5",,
quest_Builder24,,,,,"Builder Class 24/30","Clase Constructor 24/30",,
quest_Builder24_desc,,,,,"Upgrade will steel and take your base to another level.","Nada como el acero, esta mejora llevará tu base a otro nivel.",,
quest_Builder24_subtitle,,,,,"Age of Steel 3/5","La Era del Acero 3/5",,
quest_Builder25,,,,,"Builder Class 25/30","Clase Constructor 25/30",,
quest_Builder25_desc,,,,,"Upgrade will steel and take your base to another level.","Nada como el acero, esta mejora llevará tu base a otro nivel.",,
quest_Builder25_subtitle,,,,,"Age of Steel 4/5","La Era del Acero 4/5",,
quest_Builder26,,,,,"Builder Class 26/30","Clase Constructor 26/30",,
quest_Builder26_desc,,,,,"Upgrade will steel and take your base to another level.","Nada como el acero, esta mejora llevará tu base a otro nivel.",,
quest_Builder26_subtitle,,,,,"Age of Steel 5/5","La Era del Acero 5/5",,
quest_Builder27,,,,,"Builder Class 27/30","Clase Constructor 27/30",,
quest_Builder27_desc,,,,,"With Graphene anything is possible, sky is the limit.","Con el Grafeno todo es posible, el cielo es el limite. ",,
quest_Builder27_subtitle,,,,,"The sky is the limit 1/4","El Cielo es el Límite 1/4",,
quest_Builder28,,,,,"Builder Class 28/30","Clase Constructor 28/30",,
quest_Builder28_desc,,,,,"With Graphene anything is possible, sky is the limit.","Con el Grafeno todo es posible, el cielo es el limite. ",,
quest_Builder28_subtitle,,,,,"The sky is the limit 2/4","El Cielo es el Límite 2/4",,
quest_Builder29,,,,,"Builder Class 29/30","Clase Constructor 29/30",,
quest_Builder29_desc,,,,,"With Graphene anything is possible, sky is the limit.","Con el Grafeno todo es posible, el cielo es el limite. ",,
quest_Builder29_subtitle,,,,,"The sky is the limit 3/4","El Cielo es el Límite 3/4",,
quest_Builder30,,,,,"Builder Class 30/30","Clase Constructor 30/30",,
quest_Builder30_desc,,,,,"With Graphene anything is possible, sky is the limit.","Con el Grafeno todo es posible, el cielo es el limite. ",,
quest_Builder30_subtitle,,,,,"The sky is the limit 4/4","El Cielo es el Límite 4/4",,
quest_Farmer,,,,,"Farmer Class","Clase Granjero",,
quest_Farmer1,,,,,"Farmer Class 1/50","Clase Granjero 1/50",,
quest_Farmer1_desc,,,,,"You have to clean up the area a bit to start with the garden.","Hay que limpiar un poco la zona para comenzar con el huerto.",,
quest_Farmer1_subtitle,,,,,"Groud Preparing","Preparando el Terreno",,
quest_Farmer2,,,,,"Farmer Class 2/50","Clase Granjero 2/50",,
quest_Farmer2_desc,,,,,"Resources for the Garden","Reúne recursos para el huerto.",,
quest_Farmer2_subtitle,,,,,"Our land","Nuestra Tierra",,
quest_Farmer3,,,,,"Farmer Class 3/50","Clase Granjero 3/50",,
quest_Farmer3_desc,,,,,"Natural fertilizer used since always by humanity.","Abono natural utilizado desde siempre por la humanidad.",,
quest_Farmer3_subtitle,,,,,"Organic Fertilizer","Abono Orgánico",,
quest_Farmer4,,,,,"Farmer Class 4/50","Clase Granjero 4/50",,
quest_Farmer4_desc,,,,,"The job that nobody wants to do, and now it's your turn...","El trabajo que nadie quiere hacer, y ahora te ha tocado a ti...",,
quest_Farmer4_subtitle,,,,,"Undesirable Work 1/3","Trabajo Indeseable 1/3",,
quest_Farmer5,,,,,"Farmer Class 5/50","Clase Granjero 5/50",,
quest_Farmer5_desc,,,,,"The job that nobody wants to do, and now it's your turn...","El trabajo que nadie quiere hacer, y ahora te ha tocado a ti...",,
quest_Farmer5_subtitle,,,,,"Undesirable Work 2/3","Trabajo Indeseable 2/3",,
quest_Farmer6,,,,,"Farmer Class 6/50","Clase Granjero 6/50",,
quest_Farmer6_desc,,,,,"The job that nobody wants to do, and now it's your turn...","El trabajo que nadie quiere hacer, y ahora te ha tocado a ti...",,
quest_Farmer6_subtitle,,,,,"Undesirable Work 3/3","Trabajo Indeseable 3/3",,
quest_Farmer7,,,,,"Farmer Class 7/50","Clase Granjero 7/50",,
quest_Farmer7_desc,,,,,"Refreshing and digestive red tea, very abundant and with a greater capacity for hydration.","Refrescante y digestivo té rojo, muy abundante y con una mayor capacidad de hidratación.",,
quest_Farmer7_subtitle,,,,,"Red Tea 1/3","Té Rojo 1/3",,
quest_Farmer8,,,,,"Farmer Class 8/50","Clase Granjero 8/50",,
quest_Farmer8_desc,,,,,"Refreshing and digestive red tea, very abundant and with a greater capacity for hydration.","Refrescante y digestivo té rojo, muy abundante y con una mayor capacidad de hidratación.",,
quest_Farmer8_subtitle,,,,,"Red Tea 2/3","Té Rojo 2/3",,
quest_Farmer9,,,,,"Farmer Class 9/50","Clase Granjero 9/50",,
quest_Farmer9_desc,,,,,"Refreshing and digestive red tea, very abundant and with a greater capacity for hydration.","Refrescante y digestivo té rojo, muy abundante y con una mayor capacidad de hidratación.",,
quest_Farmer9_subtitle,,,,,"Red Tea 3/3","Té Rojo 3/3",,
quest_Farmer10,,,,,"Farmer Class 10/50","Clase Granjero 10/50",,
quest_Farmer10_desc,,,,,"If we want to expand the garden we will need material to make the compost.","Si queremos ampliar el huerto necesitaremos material para fabricar la composta.",,
quest_Farmer10_subtitle,,,,,"More Fertilizer","Más Abono",,
quest_Farmer11,,,,,"Farmer Class 11/50","Clase Granjero 11/50",,
quest_Farmer11_desc,,,,,"With a good golden tea nearby, eat even the stones, and forget about digestive problems.","Con un buen té dorado cerca, comete hasta las piedras, y olvida los problemas digestivos.",,
quest_Farmer11_subtitle,,,,,"Rich Golden Tea 1/3","El Rico Té Dorado 1/3",,
quest_Farmer12,,,,,"Farmer Class 12/50","Clase Granjero 12/50",,
quest_Farmer12_desc,,,,,"With a good golden tea nearby, eat even the stones, and forget about digestive problems.","Con un buen té dorado cerca, comete hasta las piedras, y olvida los problemas digestivos.",,
quest_Farmer12_subtitle,,,,,"Rich Golden Tea 2/3","El Rico Té Dorado 2/3",,
quest_Farmer13,,,,,"Farmer Class 13/50","Clase Granjero 13/50",,
quest_Farmer13_desc,,,,,"With a good golden tea nearby, eat even the stones, and forget about digestive problems.","Con un buen té dorado cerca, comete hasta las piedras, y olvida los problemas digestivos.",,
quest_Farmer13_subtitle,,,,,"Rich Golden Tea 3/3","El Rico Té Dorado 3/3",,
quest_Farmer14,,,,,"Farmer Class 14/50","Clase Granjero 14/50",,
quest_Farmer14_desc,,,,,"Tasty and sweet forest fruits, ideal for any dessert.","Frutas del bosque sabrosas y dulces, ideales para cualquier postre.",,
quest_Farmer14_subtitle,,,,,"Blue Berries 1/3","Frutas del Bosque 1/3",,
quest_Farmer15,,,,,"Farmer Class 15/50","Clase Granjero 15/50",,
quest_Farmer15_desc,,,,,"Tasty and sweet forest fruits, ideal for any dessert.","Frutas del bosque sabrosas y dulces, ideales para cualquier postre.",,
quest_Farmer15_subtitle,,,,,"Blue Berries 2/3","Frutas del Bosque 2/3",,
quest_Farmer16,,,,,"Farmer Class 16/50","Clase Granjero 16/50",,
quest_Farmer16_desc,,,,,"Tasty and sweet forest fruits, ideal for any dessert.","Frutas del bosque sabrosas y dulces, ideales para cualquier postre.",,
quest_Farmer16_subtitle,,,,,"Blue Berries 3/3","Frutas del Bosque 3/3",,
quest_Farmer17,,,,,"Farmer Class 17/50","Clase Granjero 17/50",,
quest_Farmer17_desc,,,,,"It's time for compost, make a good amount, and that garden doesn't stop growing.","Llegó la hora de la composta, fabrica una buena cantidad, y que ese huerto no deje de crecer.",,
quest_Farmer17_subtitle,,,,,"Compost Time","Hora de la Composta",,
quest_Farmer18,,,,,"Farmer Class 18/50","Clase Granjero 18/50",,
quest_Farmer18_desc,,,,,"Surviving in the desert is child's play, as long as you have a good supply of yucca nearby.","Sobrevivir en el desierto es cosa de niños, siempre y cuando tengas una buena provisión de yuca cerca.",,
quest_Farmer18_subtitle,,,,,"Desert Fruit 1/3","El Fruto del Desierto 1/3",,
quest_Farmer19,,,,,"Farmer Class 19/50","Clase Granjero 19/50",,
quest_Farmer19_desc,,,,,"Surviving in the desert is child's play, as long as you have a good supply of yucca nearby.","Sobrevivir en el desierto es cosa de niños, siempre y cuando tengas una buena provisión de yuca cerca.",,
